# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.938938498497009277e-01 2.226308822631835938e+01 5.996241455078125000e+02 1.922027170658111572e-01 4.452617645263671875e+01 1.199248291015625000e+03
1.000000000000000000e+03 1.015800476074218750e+01 3.626986694335937500e+01 9.533531188964843750e+01 1.021257019042968750e+01 7.253973388671875000e+01 1.906706237792968750e+02
2.000000000000000000e+03 3.177326440811157227e+00 1.663820505142211914e+00 4.131665229797363281e+00 3.130614995956420898e+00 3.327641010284423828e+00 8.263330459594726562e+00
3.000000000000000000e+03 2.723003029823303223e-01 3.618281707167625427e-02 2.473309934139251709e-01 2.573546171188354492e-01 7.236563414335250854e-02 4.946619868278503418e-01
4.000000000000000000e+03 4.751027002930641174e-02 1.472093397751450539e-03 3.996310010552406311e-02 4.170091077685356140e-02 2.944186795502901077e-03 7.992620021104812622e-02
5.000000000000000000e+03 2.961257845163345337e-02 3.562894184142351151e-03 2.250187098979949951e-02 2.603497728705406189e-02 7.125788368284702301e-03 4.500374197959899902e-02
6.000000000000000000e+03 2.187892235815525055e-02 2.226824406534433365e-03 1.245007663965225220e-02 1.887602917850017548e-02 4.453648813068866730e-03 2.490015327930450439e-02
7.000000000000000000e+03 1.435158308595418930e-02 1.161377760581672192e-03 5.917646456509828568e-03 1.212152466177940369e-02 2.322755521163344383e-03 1.183529291301965714e-02
8.000000000000000000e+03 8.459131233394145966e-03 5.850053858011960983e-04 2.688890555873513222e-03 7.074894849210977554e-03 1.170010771602392197e-03 5.377781111747026443e-03
9.000000000000000000e+03 4.286155570298433304e-03 5.544651066884398460e-04 2.117076655849814415e-03 3.545459127053618431e-03 1.108930213376879692e-03 4.234153311699628830e-03
1.000000000000000000e+04 1.499216537922620773e-03 2.033395721809938550e-04 9.122721385210752487e-04 1.190464710816740990e-03 4.066791443619877100e-04 1.824544277042150497e-03
1.100000000000000000e+04 4.075523756910115480e-04 9.533487173030152917e-05 6.037379498593509197e-04 2.938430407084524632e-04 1.906697434606030583e-04 1.207475899718701839e-03
1.200000000000000000e+04 1.926248369272798300e-04 1.804654020816087723e-04 6.725231651216745377e-04 1.408257085131481290e-04 3.609308041632175446e-04 1.345046330243349075e-03
1.300000000000000000e+04 1.192722120322287083e-04 4.197143425699323416e-05 1.763765321811661124e-04 8.984671876532956958e-05 8.394286851398646832e-05 3.527530643623322248e-04
1.400000000000000000e+04 7.392504630843177438e-05 3.631144500104710460e-05 6.915106787346303463e-04 5.701521513401530683e-05 7.262289000209420919e-05 1.383021357469260693e-03
1.500000000000000000e+04 4.235084270476363599e-05 1.998153311433270574e-05 1.159624662250280380e-04 3.240895966882817447e-05 3.996306622866541147e-05 2.319249324500560760e-04
1.600000000000000000e+04 2.633852091094013304e-05 1.497068151365965605e-04 9.134837891906499863e-04 2.044266148004680872e-05 2.994136302731931210e-04 1.826967578381299973e-03
1.700000000000000000e+04 1.362381044600624591e-05 1.209246784128481522e-05 1.000747433863580227e-04 1.040913866745540872e-05 2.418493568256963044e-05 2.001494867727160454e-04
1.800000000000000000e+04 8.239630915340967476e-06 1.133121168095385656e-05 9.212100121658295393e-05 6.349480372591642663e-06 2.266242336190771312e-05 1.842420024331659079e-04
1.900000000000000000e+04 5.315069302014308050e-06 1.023798085952876136e-05 8.755931048654019833e-05 4.132120011490769684e-06 2.047596171905752271e-05 1.751186209730803967e-04
2.000000000000000000e+04 3.620368033807608299e-06 8.546685421606525779e-06 9.195094753522425890e-05 2.812565753629314713e-06 1.709337084321305156e-05 1.839018950704485178e-04
